"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.861764170E0,-9.239064530E-3,2.886253223E-2,8.780929260E-3
4.880572816E0,-1.259872504E-2,4.321744293E-2,9.391776286E-3
4.899381462E0,-7.406522986E-3,2.183778957E-2,1.061347127E-2
4.918190107E0,2.367033157E-3,-1.725643501E-2,1.183516532E-2
4.936998753E0,2.672456671E-3,-2.367033064E-2,9.697199799E-3
4.955807399E0,-1.298050396E-3,7.482878864E-3,4.199574701E-3
4.974616045E0,-1.908897655E-3,3.222219273E-2,-4.963133950E-3
4.993424691E0,-4.657710437E-3,2.550287358E-2,-2.214321401E-3
5.012233337E0,-6.872031372E-4,2.901524538E-3,5.421269219E-3
5.031041982E0,-7.635590737E-5,-3.512371797E-3,5.115845706E-3
5.049850628E0,-1.046075951E-2,1.298050396E-2,4.199574701E-3
5.068659222E0,-1.076618303E-2,3.283303976E-2,1.000262424E-2
5.087467868E0,-8.322793990E-3,4.138490185E-2,1.244601328E-2
5.106276514E0,-1.351499557E-2,3.222219273E-2,1.458397787E-2
5.125085160E0,-6.795675959E-3,1.634016447E-2,1.427855436E-2
5.143893805E0,-1.603474026E-3,6.872031838E-3,1.336228382E-2
5.162702451E0,-6.184828468E-3,8.704573847E-3,5.726693198E-3
5.181511097E0,-1.351499557E-2,1.481304597E-2,-6.872031372E-4
5.200319743E0,-1.870719716E-2,1.175880991E-2,-6.490251981E-3
5.219128389E0,-2.359397523E-2,1.985253533E-3,-2.214321401E-3
5.237937035E0,-2.237228118E-2,-9.620844387E-3,8.170082234E-3
5.256745628E0,-2.512109280E-2,-1.450762246E-2,6.337540224E-3
5.275554274E0,-3.825430945E-2,-1.267508045E-2,-7.635590737E-5
5.294362920E0,-5.077667907E-2,-4.734066315E-3,-8.322793990E-3
5.313171566E0,-5.077667907E-2,4.734066315E-3,-9.849912487E-3
5.331980212E0,-4.100312293E-2,1.695101149E-2,3.283303929E-3
5.350788857E0,-2.389939874E-2,2.214321308E-2,1.733279042E-2
5.369597503E0,-5.879404955E-3,2.458660305E-2,2.344126441E-2
5.388406149E0,3.283303929E-3,2.947338112E-2,2.130329795E-2
5.407214795E0,-2.519744914E-3,3.222219273E-2,1.397313084E-2
5.426023441E0,-1.504211407E-2,2.672456764E-2,8.780929260E-3
5.444832087E0,-2.359397523E-2,1.908897609E-2,7.253811229E-3
5.463640680E0,-2.328855172E-2,1.878355257E-2,1.183516532E-2
5.482449326E0,-1.687465608E-2,3.405473381E-2,1.427855436E-2
5.501257972E0,-7.711946499E-3,5.573981255E-2,1.427855436E-2
5.520066618E0,-1.908897655E-3,6.459710002E-2,1.214058883E-2
5.538875264E0,-8.628217503E-3,4.932591692E-2,4.810422193E-3
5.557683910E0,-1.992889121E-2,2.031067200E-2,8.399150101E-4
5.576492555E0,-2.756448276E-2,7.635590737E-4,7.864658721E-3
5.595301149E0,-2.817532979E-2,1.068982761E-3,9.697199799E-3
5.614109795E0,-1.901262067E-2,1.389677543E-2,1.091889478E-2
5.632918441E0,-9.239064530E-3,3.191677108E-2,1.305686031E-2
5.651727087E0,-8.017370477E-3,4.291202128E-2,1.183516532E-2
5.670535732E0,-1.137703005E-2,3.527642787E-2,6.032116711E-3
5.689344378E0,-1.504211407E-2,1.450762246E-2,7.864658721E-3
5.708153024E0,-3.031329438E-2,1.985253533E-3,4.199574701E-3
5.726961670E0,-3.917058185E-2,-7.177455351E-3,-2.214321401E-3
5.745770264E0,-2.786990628E-2,-1.236965694E-2,-2.519744914E-3
5.764578910E0,-2.756448276E-2,-4.734066315E-3,1.145338640E-3
5.783387555E0,-3.306210786E-2,1.023169141E-2,2.367033157E-3
5.802196201E0,-2.970244735E-2,2.214321308E-2,4.504998680E-3
5.821004847E0,-2.848075330E-2,1.695101149E-2,7.864658721E-3
5.839813493E0,-3.214583546E-2,4.123218823E-3,4.810422193E-3
5.858622087E0,-2.848075330E-2,-1.679830020E-3,3.894151188E-3
5.877430732E0,-2.420482226E-2,5.039489828E-3,2.367033157E-3
5.896239378E0,-2.084516361E-2,2.336490713E-2,7.559234742E-3
5.915048024E0,-1.809635013E-2,3.863608837E-2,9.086352773E-3
5.933856670E0,-2.023431472E-2,3.924693540E-2,5.115845706E-3
5.952665316E0,-2.725905925E-2,2.947338112E-2,1.756185899E-3
5.971473962E0,-3.428380191E-2,2.244863659E-2,4.810422193E-3
5.990282555E0,-4.253023863E-2,2.733541466E-2,4.504998680E-3
6.009091201E0,-4.772244394E-2,2.977880463E-2,8.780929260E-3
6.027899847E0,-4.436278343E-2,3.405473381E-2,1.061347127E-2
6.046708493E0,-3.794888780E-2,4.871506989E-2,1.214058883E-2
6.065517139E0,-3.184041381E-2,6.520794332E-2,1.152974181E-2
6.084325785E0,-2.359397523E-2,6.917845458E-2,1.061347127E-2
6.103134378E0,-1.504211407E-2,5.757235363E-2,8.170082234E-3
6.121943024E0,-1.351499557E-2,3.252761811E-2,6.032116711E-3
6.140751670E0,-2.176143415E-2,1.175880991E-2,6.337540224E-3
6.159560316E0,-3.153498843E-2,4.734066315E-3,5.421269219E-3
6.178368962E0,-3.000787087E-2,8.704573847E-3,5.115845706E-3
6.197177555E0,-2.695363574E-2,1.359135192E-2,5.421269219E-3
6.215986201E0,-1.840177365E-2,2.061609551E-2,5.115845706E-3
6.234794847E0,-1.107160654E-2,2.550287358E-2,6.948387716E-3
6.253603493E0,-1.779092662E-2,2.580829710E-2,5.421269219E-3
6.272412139E0,-3.214583546E-2,1.908897609E-2,5.421269219E-3
6.291220732E0,-3.947600350E-2,1.145338640E-2,8.780929260E-3
6.310029378E0,-3.367295489E-2,1.206423342E-2,1.305686031E-2
6.328838024E0,-1.870719716E-2,1.267508045E-2,9.391776286E-3
