"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.857573803E0,-4.749752998E0,-3.792623878E-1,8.268398285E0
6.876383230E0,-4.753342152E0,-8.530412912E-1,8.752944946E0
6.895192657E0,-4.868197441E0,-1.123430252E0,8.812766075E0
6.914002084E0,-4.790431023E0,-1.155733347E0,8.622536659E0
6.932811511E0,-4.687539577E0,-1.045663476E0,8.437092781E0
6.951620938E0,-4.547559261E0,-9.487541914E-1,8.495717049E0
6.970430365E0,-4.861019135E0,-8.255237937E-1,8.656036377E0
6.989239792E0,-4.902893543E0,-8.183453679E-1,8.811569214E0
7.008049219E0,-4.977071285E0,-8.099704385E-1,8.742177963E0
7.026858594E0,-4.944767952E0,-8.578268886E-1,8.620143890E0
7.045668074E0,-4.935196877E0,-8.925228715E-1,8.494520187E0
7.064477449E0,-4.910071850E0,-9.176474810E-1,8.525627136E0
7.083286876E0,-4.913661480E0,-8.578268886E-1,8.602197647E0
7.102096303E0,-4.857429981E0,-8.159525394E-1,8.645268440E0
7.120905730E0,-4.872983456E0,-7.776673436E-1,8.530412674E0
7.139715157E0,-4.843072891E0,-8.015955687E-1,8.508877754E0
7.158524584E0,-4.907679081E0,-8.709874153E-1,8.517251968E0
7.177334011E0,-4.913661480E0,-9.379864931E-1,8.596215248E0
7.196143438E0,-4.868197441E0,-9.678967595E-1,8.591429710E0
7.214952813E0,-4.839483738E0,-9.978070259E-1,8.578269005E0
7.233762240E0,-4.800002098E0,-1.063609719E0,8.567501068E0
7.252571667E0,-4.810770035E0,-1.136590719E0,8.620143890E0
7.271381094E0,-4.828716278E0,-1.137787223E0,8.690732002E0
7.290190522E0,-4.844269276E0,-1.068395257E0,8.670392990E0
7.308999949E0,-4.794020176E0,-1.034895778E0,8.626125336E0
7.327809376E0,-4.709074974E0,-1.001396298E0,8.673981667E0
7.346618803E0,-4.636094093E0,-1.031306505E0,8.683553696E0
7.365428230E0,-4.630111694E0,-9.930213690E-1,8.678768158E0
7.384237605E0,-4.632504463E0,-9.655039310E-1,8.678768158E0
7.403047032E0,-4.627718925E0,-9.798609018E-1,8.723034859E0
7.421856459E0,-4.666004181E0,-1.058824062E0,8.715856552E0
7.440665886E0,-4.677968502E0,-1.142572761E0,8.693124771E0
7.459475313E0,-4.634897232E0,-1.138983607E0,8.712266922E0
7.478284740E0,-4.569094658E0,-1.176072359E0,8.732605934E0
7.497094167E0,-4.643272400E0,-1.185643673E0,8.727820396E0
