"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.248991563E0,1.173590273E-1,3.802524135E-2,-2.518217862E-1
5.267801198E0,-2.348707765E-1,1.730988473E-1,-1.965401024E-1
5.286610886E0,-4.550811946E-1,1.071273386E-1,-1.259872466E-1
5.305420521E0,-4.908157587E-1,1.786728203E-2,-6.398624927E-2
5.324230208E0,-4.245388508E-1,-1.152974218E-1,-4.443913698E-2
5.343039844E0,-2.843494117E-1,-2.475458533E-1,-4.077405483E-2
5.361849531E0,-1.440836042E-1,-2.533488870E-1,-3.527642787E-2
5.380659219E0,-7.475243509E-2,-2.310529798E-1,-3.863608837E-2
5.399468854E0,-3.199312463E-2,-2.988570333E-1,-8.933641016E-2
5.418278542E0,-4.695888236E-2,-3.581092060E-1,-1.589729935E-1
5.437088177E0,-9.093988687E-2,-4.182776511E-1,-2.154763639E-1
5.455897865E0,-1.614927500E-1,-4.570664763E-1,-2.866400778E-1
5.474707500E0,-2.070772201E-1,-4.259132445E-1,-3.397837877E-1
5.493517188E0,-2.324273884E-1,-3.367295563E-1,-3.138227761E-1
5.512326823E0,-2.192941606E-1,-2.741177082E-1,-2.163926363E-1
5.531136511E0,-2.336490750E-1,-2.524326444E-1,-1.656923145E-1
5.549946146E0,-2.382304370E-1,-3.425326049E-1,-1.626380831E-1
5.568755833E0,-2.428117841E-1,-4.338542521E-1,-1.837123185E-1
5.587565521E0,-2.312056869E-1,-4.784461260E-1,-1.953184158E-1
5.606375156E0,-2.669402659E-1,-4.442386627E-1,-2.099787444E-1
5.625184844E0,-3.374931216E-1,-3.761292100E-1,-2.139492482E-1
5.643994479E0,-4.553866386E-1,-4.570664763E-1,-1.504211426E-1
5.662804167E0,-6.456655264E-1,-5.664080977E-1,-1.412584335E-1
5.681613802E0,-9.202414155E-1,-9.170344472E-1,-1.171299592E-1
5.700423490E0,-1.282168388E0,-1.440835953E0,3.817795310E-3
5.719233177E0,-1.532921195E0,-1.232537031E0,-2.231119573E-1
5.738042813E0,-1.876217365E0,-1.449693203E0,-2.680092454E-1
5.756852500E0,-2.092151880E0,-1.778329134E0,-1.632489264E-1
5.775662136E0,-2.214321375E0,-2.109102964E0,2.290677279E-3
5.794471823E0,-2.147128105E0,-2.319234371E0,2.933593988E-1
5.813281511E0,-1.928139329E0,-2.144837379E0,6.367319226E-1
5.832091146E0,-1.713732004E0,-1.236202121E0,7.350783348E-1
5.850900833E0,-1.651120186E0,-7.884510756E-1,6.917081475E-1
