"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.188035469E2,-1.300499082E0,1.103091240E0,-9.683753014E0
7.188223581E2,-1.289731383E0,1.106680512E0,-9.684949875E0
7.188411693E2,-1.289731383E0,1.107876897E0,-9.670592308E0
7.188599806E2,-1.270588875E0,1.107876897E0,-9.692128181E0
7.188787918E2,-1.270588875E0,1.123430252E0,-9.683753014E0
7.188976031E2,-1.268195987E0,1.104287624E0,-9.675378799E0
7.189164143E2,-1.266999602E0,1.123430252E0,-9.664610863E0
7.189352255E2,-1.263410330E0,1.113858938E0,-9.674181938E0
7.189540368E2,-1.293320656E0,1.119840980E0,-9.671789169E0
7.189728480E2,-1.302891970E0,1.115055323E0,-9.686145782E0
7.189916592E2,-1.284945726E0,1.111466169E0,-9.686145782E0
7.190104705E2,-1.274178028E0,1.115055323E0,-9.682557106E0
7.190292817E2,-1.287338614E0,1.106680512E0,-9.682557106E0
7.190480930E2,-1.274178028E0,1.127019525E0,-9.689735413E0
7.190669042E2,-1.266999602E0,1.100698471E0,-9.675378799E0
7.190857154E2,-1.269392371E0,1.113858938E0,-9.689735413E0
7.191045267E2,-1.278963685E0,1.111466169E0,-9.692128181E0
7.191233379E2,-1.275374413E0,1.104287624E0,-9.699306488E0
7.191421492E2,-1.275374413E0,1.116251707E0,-9.668199539E0
7.191609604E2,-1.270588875E0,1.121037364E0,-9.658628464E0
7.191797716E2,-1.270588875E0,1.162911773E0,-9.653842926E0
7.191985829E2,-1.304088354E0,1.149751306E0,-9.655039787E0
7.192173941E2,-1.278963685E0,1.080359459E0,-9.694520950E0
7.192362053E2,-1.271785259E0,1.073180914E0,-9.711270332E0
7.192550166E2,-1.247856975E0,1.088734269E0,-9.718449593E0
7.192738278E2,-1.253839016E0,1.124626637E0,-9.724431038E0
7.192926390E2,-1.270588875E0,1.119840980E0,-9.689735413E0
7.193114503E2,-1.281356573E0,1.122233868E0,-9.661021233E0
7.193302615E2,-1.287338614E0,1.141376376E0,-9.645467758E0
7.193490727E2,-1.325623751E0,1.149751306E0,-9.655039787E0
7.193678840E2,-1.298106313E0,1.119840980E0,-9.661021233E0
7.193866952E2,-1.266999602E0,1.098305583E0,-9.671789169E0
7.194055064E2,-1.249053478E0,1.089930773E0,-9.671789169E0
7.194243177E2,-1.233500123E0,1.074377418E0,-9.680164337E0
7.194431289E2,-1.221535921E0,1.083948612E0,-9.676574707E0
7.194619402E2,-1.243071318E0,1.093519926E0,-9.689735413E0
7.194807514E2,-1.276570916E0,1.118644595E0,-9.702896118E0
7.194995626E2,-1.322034478E0,1.136590719E0,-9.706484795E0
7.195183739E2,-1.339980721E0,1.138983607E0,-9.700503349E0
